Query	Dates range	Impressions	Clicks	CTR %	Avg. position	Avg. click position	Impressions for 1st position	Clicks from pos. 1	CTR % for pos. 1	Impressions for pos. 2-3	Clicks from pos. 2-3	CTR % for pos. 2-3	Avg. impression position for pos. 2-3	Avg. click position from pos. 2-3	Impressions for pos. 4-10	Clicks from pos. 4-10	CTR % for pos. 4-10	Avg. impression position for pos. 4-10	Avg. click position from pos. 4-10	Impressions for pos. 11-50	Clicks from pos. 11-50	CTR % for pos. 11-50	Avg. impression position for pos. 11-50	Avg. click position from pos. 11-50
адижан	2025-01-01 - 2025-10-15	90	0	0	10,76666667		0	0		0	0				32	0	0	9,625		58	0	0	11,39655172	
riviera mall	2025-01-01 - 2025-10-15	80	0	0	8,6875		0	0		0	0				77	0	0	8,597402597		3	0	0	11	
стадион миллий в ташкенте	2025-01-01 - 2025-10-15	76	1	1,315789474	12,01315789	14	0	0		0	0				9	0	0	9,777777778		67	1	1,492537313	12,31343284	14
the bani ташкент	2025-01-01 - 2025-10-15	76	0	0	10,31578947		0	0		0	0				37	0	0	9,324324324		39	0	0	11,25641026	
бунёдкор стадион	2025-01-01 - 2025-10-15	72	0	0	11,15277778		0	0		0	0				24	0	0	9,375		48	0	0	12,04166667	
бостандык узбекистан	2025-01-01 - 2025-10-15	70	0	0	10,25714286		0	0		0	0				43	0	0	9,23255814		27	0	0	11,88888889	
каракамыш	2025-01-01 - 2025-10-15	69	0	0	9,550724638		0	0		0	0				48	0	0	8,729166667		21	0	0	11,42857143	
ц1 ташкент	2025-01-01 - 2025-10-15	68	0	0	6,397058824		0	0		1	0	0	3		66	0	0	6,378787879		1	0	0	11	
музей восковых фигур в ташкенте	2025-01-01 - 2025-10-15	68	0	0	10,82352941		0	0		0	0				27	0	0	9,222222222		41	0	0	11,87804878	
хадра	2025-01-01 - 2025-10-15	67	1	1,492537313	4,074626866	4	1	0	0	14	0	0	2,928571429		52	1	1,923076923	4,442307692	4	0	0			
nrg meros	2025-01-01 - 2025-10-15	66	0	0	7,575757576		0	0		0	0				60	0	0	7,233333333		6	0	0	11	
узбекистан город чирчик 3 микрорайон чарвак	2025-01-01 - 2025-10-15	66	1	1,515151515	8,606060606	9	0	0		0	0				56	1	1,785714286	8,089285714	9	10	0	0	11,5	
nrj meros	2025-01-01 - 2025-10-15	65	0	0	9,523076923		0	0		0	0				52	0	0	9,153846154		13	0	0	11	
145 школа ташкент	2025-01-01 - 2025-10-15	64	0	0	11,09375		0	0		0	0				18	0	0	9,444444444		46	0	0	11,73913043	
тузель	2025-01-01 - 2025-10-15	64	1	1,5625	8,859375	10	0	0		0	0				54	1	1,851851852	8,425925926	10	10	0	0	11,2	
дархан ташкент	2025-01-01 - 2025-10-15	59	0	0	5,118644068		0	0		15	0	0	2,933333333		42	0	0	5,571428571		2	0	0	12	
александрия оксианская	2025-01-01 - 2025-10-15	59	7	11,86440678	9,406779661	9,571428571	1	0	0	3	0	0	3		32	5	15,625	8,28125	8,6	23	2	8,695652174	12,17391304	12
ривьера ташкент	2025-01-01 - 2025-10-15	58	0	0	9,965517241		0	0		0	0				39	0	0	9,128205128		19	0	0	11,68421053	
кушбеги	2025-01-01 - 2025-10-15	58	1	1,724137931	5,793103448	5	0	0		0	0				58	1	1,724137931	5,793103448	5	0	0			
yandex maps tashkent 3d	2025-01-01 - 2025-10-15	57	0	0	7,736842105		0	0		3	0	0	3		44	0	0	7,068181818		10	0	0	12,1	
ривьера ташкент торговый центр	2025-01-01 - 2025-10-15	56	1	1,785714286	9,089285714	9	0	0		0	0				43	1	2,325581395	8,418604651	9	13	0	0	11,30769231	
ташкентский ботанический сад имени академика ф. н. русанова ташкент, ташкентский ботанический сад имени академика ф.н. русанова фото	2025-01-01 - 2025-10-15	56	1	1,785714286	11,80357143	10	0	0		0	0				8	1	12,5	10	10	48	0	0	12,10416667	
кукча	2025-01-01 - 2025-10-15	53	0	0	9,113207547		0	0		0	0				40	0	0	8,325		13	0	0	11,53846154	
шахидлар хотираси	2025-01-01 - 2025-10-15	51	0	0	11,96078431		0	0		0	0				7	0	0	9,857142857		44	0	0	12,29545455	
панорама ташкент	2025-01-01 - 2025-10-15	51	2	3,921568627	7,490196078	10	0	0		2	0	0	3		47	2	4,255319149	7,531914894	10	2	0	0	11	
choyxona	2025-01-01 - 2025-10-15	50	0	0	10,2		1	0	0	0	0				26	0	0	9,384615385		23	0	0	11,52173913	
улица махтумкули в ташкенте на карте	2025-01-01 - 2025-10-15	50	2	4	4,78	4,5	0	0		2	0	0	3		48	2	4,166666667	4,854166667	4,5	0	0			
старого ташми	2025-01-01 - 2025-10-15	49	0	0	8,326530612		0	0		1	0	0	3		33	0	0	6,939393939		15	0	0	11,73333333	
riviera ул. нодиры, 4 фото	2025-01-01 - 2025-10-15	48	0	0	9,833333333		0	0		0	0				35	0	0	9,4		13	0	0	11	
бассейн ул. мовароуннахр, 21 фото	2025-01-01 - 2025-10-15	47	0	0	11,14893617		0	0		0	0				12	0	0	9,166666667		35	0	0	11,82857143	
ташкент улица нодиры 4 riviera	2025-01-01 - 2025-10-15	47	0	0	8,659574468		0	0		0	0				41	0	0	8,268292683		6	0	0	11,33333333	
eski tashmi	2025-01-01 - 2025-10-15	47	2	4,255319149	6,531914894	4,5	1	0	0	0	0				46	2	4,347826087	6,652173913	4,5	0	0			
city	2025-01-01 - 2025-10-15	47	0	0	7,021276596		0	0		1	0	0	2		43	0	0	6,860465116		3	0	0	11	
кукча масжиди	2025-01-01 - 2025-10-15	46	2	4,347826087	4,717391304	5	0	0		3	0	0	3		43	2	4,651162791	4,837209302	5	0	0			
karta uzbekistan 3d	2025-01-01 - 2025-10-15	46	3	6,52173913	3,043478261	2,666666667	0	0		31	3	9,677419355	2,451612903	2,666666667	15	0	0	4,266666667		0	0			
алгоритм ташкент	2025-01-01 - 2025-10-15	46	0	0	6,891304348		0	0		1	0	0	3		42	0	0	6,69047619		3	0	0	11	
музей природы в ташкенте	2025-01-01 - 2025-10-15	45	1	2,222222222	9,577777778	6	0	0		0	0				29	1	3,448275862	8,379310345	6	16	0	0	11,75	
узбум	2025-01-01 - 2025-10-15	45	1	2,222222222	4,466666667	5	0	0		7	0	0	3		38	1	2,631578947	4,736842105	5	0	0			
the бани	2025-01-01 - 2025-10-15	45	1	2,222222222	7,044444444	4	0	0		0	0				43	1	2,325581395	6,860465116	4	2	0	0	11	
alisher navoi teatr 3d	2025-01-01 - 2025-10-15	43	0	0	1,023255814		42	0	0	1	0	0	2		0	0				0	0			
лунапарк в ташкенте	2025-01-01 - 2025-10-15	42	1	2,380952381	11,26190476	12	0	0		0	0				10	0	0	9,3		32	1	3,125	11,875	12
ташкентское море	2025-01-01 - 2025-10-15	41	0	0	11,80487805		0	0		0	0				6	0	0	8,833333333		35	0	0	12,31428571	
wyndham garden charvak	2025-01-01 - 2025-10-15	41	0	0	9,609756098		0	0		0	0				26	0	0	8,653846154		15	0	0	11,26666667	
атлас мебель в ташкенте	2025-01-01 - 2025-10-15	41	0	0	10,36585366		0	0		0	0				19	0	0	9,315789474		22	0	0	11,27272727	
riviera	2025-01-01 - 2025-10-15	41	1	2,43902439	9,195121951	8	0	0		0	0				34	1	2,941176471	8,823529412	8	7	0	0	11	
sebzor	2025-01-01 - 2025-10-15	41	1	2,43902439	5,024390244	4	0	0		1	0	0	3		40	1	2,5	5,075	4	0	0			
жк казахстан ташкент	2025-01-01 - 2025-10-15	41	4	9,756097561	9,780487805	10,75	0	0		0	0				28	1	3,571428571	8,964285714	10	13	3	23,07692308	11,53846154	11
себзар ташкент	2025-01-01 - 2025-10-15	40	2	5	4,475	3,5	0	0		12	1	8,333333333	2,833333333	3	28	1	3,571428571	5,178571429	4	0	0			
piramit tower ташкент	2025-01-01 - 2025-10-15	40	3	7,5	10,975	13,33333333	0	0		0	0				16	0	0	9,0625		24	3	12,5	12,25	13,33333333
улица ислама каримова	2025-01-01 - 2025-10-15	40	0	0	8,525		0	0		0	0				32	0	0	7,84375		8	0	0	11,25	
riviera mall ташкент	2025-01-01 - 2025-10-15	40	0	0	10,225		0	0		0	0				23	0	0	9,217391304		17	0	0	11,58823529	
эски шахар ташкент	2025-01-01 - 2025-10-15	39	0	0	5,487179487		0	0		5	0	0	3		34	0	0	5,852941176		0	0			
arca mebel ташкент	2025-01-01 - 2025-10-15	39	0	0	10,69230769		0	0		0	0				20	0	0	9,75		19	0	0	11,68421053	
кушбеги ташкент	2025-01-01 - 2025-10-15	39	0	0	3,871794872		0	0		20	0	0	3		19	0	0	4,789473684		0	0			
карасу ташкент	2025-01-01 - 2025-10-15	39	3	7,692307692	9,179487179	6,666666667	0	0		0	0				29	3	10,34482759	8,413793103	6,666666667	10	0	0	11,4	
тц ривьера ташкент	2025-01-01 - 2025-10-15	38	0	0	9,394736842		0	0		0	0				28	0	0	8,75		10	0	0	11,2	
бурбон ресторан ташкент	2025-01-01 - 2025-10-15	38	0	0	11,26315789		0	0		0	0				6	0	0	9,5		32	0	0	11,59375	
имом ота	2025-01-01 - 2025-10-15	38	0	0	11,65789474		0	0		0	0				4	0	0	9,75		34	0	0	11,88235294	
имзо виртуальный тур	2025-01-01 - 2025-10-15	38	0	0	3,026315789		0	0		37	0	0	3		1	0	0	4		0	0			
arca mebel	2025-01-01 - 2025-10-15	38	0	0	11,97368421		0	0		0	0				11	0	0	9,181818182		27	0	0	13,11111111	
the choyxona ташкент	2025-01-01 - 2025-10-15	37	0	0	11,86486486		0	0		0	0				6	0	0	9,5		31	0	0	12,32258065	
нанай водопад	2025-01-01 - 2025-10-15	36	3	8,333333333	6,388888889	5	0	0		0	0				36	3	8,333333333	6,388888889	5	0	0			
zohid kebab в ташкенте	2025-01-01 - 2025-10-15	36	0	0	10,41666667		0	0		0	0				16	0	0	9,125		20	0	0	11,45	
ганга ташкент	2025-01-01 - 2025-10-15	36	0	0	10,38888889		0	0		0	0				18	0	0	9,444444444		18	0	0	11,33333333	
узбум ташкент	2025-01-01 - 2025-10-15	36	5	13,88888889	5,388888889	5,2	0	0		3	1	33,33333333	3	3	33	4	12,12121212	5,606060606	5,75	0	0			
бассейн ул. мовароуннахр, 21, ташкент фото	2025-01-01 - 2025-10-15	35	0	0	9,828571429		0	0		0	0				21	0	0	8,666666667		14	0	0	11,57142857	
it park uzbekistan	2025-01-01 - 2025-10-15	35	0	0	11,25714286		0	0		0	0				11	0	0	9,636363636		24	0	0	12	
бродвей ташкент	2025-01-01 - 2025-10-15	35	0	0	10,77142857		0	0		0	0				13	0	0	9,076923077		22	0	0	11,77272727	
каракамыш ташкент	2025-01-01 - 2025-10-15	34	2	5,882352941	8,823529412	7	0	0		0	0				31	2	6,451612903	8,580645161	7	3	0	0	11,33333333	
яшнабад	2025-01-01 - 2025-10-15	34	1	2,941176471	7,323529412	9	0	0		0	0				34	1	2,941176471	7,323529412	9	0	0			
arena hudolari	2025-01-01 - 2025-10-15	34	0	0	10,41176471		0	0		0	0				16	0	0	9,4375		18	0	0	11,27777778	
больница в ташкенте фото	2025-01-01 - 2025-10-15	34	0	0	3,852941176		0	0		18	0	0	3		16	0	0	4,8125		0	0			
ташморе в ташкенте где находится	2025-01-01 - 2025-10-15	33	1	3,03030303	12,21212121	13	0	0		0	0				2	0	0	8,5		31	1	3,225806452	12,4516129	13
санаторий ташморе узбекистан	2025-01-01 - 2025-10-15	33	14	42,42424242	2,303030303	2,142857143	6	4	66,66666667	23	8	34,7826087	2,347826087	2,25	4	2	50	4	4	0	0			
максим горький ташкент	2025-01-01 - 2025-10-15	33	1	3,03030303	7,454545455	7	0	0		0	0				28	1	3,571428571	6,785714286	7	5	0	0	11,2	
